1,Brian Cranston,USA,1956-12-12,M
2,Aaron Paul,USA,1982-01-12,M
3,Vince Gillian,USA,1976-03-03,M
4,Melissa Burns,USA,1986-04-21,F
5,Robert Downey Jr.,USA,1970-08-17,M
6,Jon Favreau,France,1960-10-10,M
7,Gwyneth Paltrow,USA,1980-11-30,F
8,Benedict Cumberbatch,USA,1980-05-03,M
9,Keanu Reaves,USA,1978-03-22,M
10,Ben Affleck ,USA,1965-02-11,M
11,Henry Cavill,France,1970-10-26,M
12,Christian Bale,France,1971-01-05,M
13,Morgan Freeman,France,1972-08-11,M
14,Gerard Butler ,France,1973-09-21,M
15,Aaron Eckhart,France,1973-11-26,M
16,Michael Nyqvist,France,1974-10-22,M
17,Chad Stahelski,Germany,1975-08-29,M
18,Babak Najafi,Germany,1976-02-20,M
19,The Wachowskis,Germany,1977-04-26,M
20,Carrie-Anne Moss,Germany,1978-06-21,M
21,Laurence Fishburne,India,1978-09-05,M
22,Ryan Gosling,India,1979-02-13,M
23,Nick Cassavetes,UK,1979-02-26,M
24,Rachel McAdams,UK,1979-04-10,F
25,Mark Johnson,UK,1980-03-07,M
26,Amon Milchan,UK,1981-06-29,M
27,Richard Gere,UK,1981-08-13,M
28,Julia Roberts,USA,1982-02-01,F
29,Jennifer Garner,Canada,1983-05-24,F
30,Zack Snyder,Canada,1983-06-06,M
31,Christopher Nolan,USA,1985-08-14,M
32,Amy Adams,USA,1985-08-30,F
33,Gal Gadot,USA,1986-01-29,F
34,Deborah Snyder,UK,1987-08-17,F
35,Gary Oldman,UK,1988-01-29,M
36,Michael Caine,Finland,1986-01-29,M
37,Jeremy Luke,Canada,1982-02-01,M
38,Walter Lewis,USA,1960-01-31,M
39,Ben White,Mexico,2002-02-02,M
40,Giovanni Nedved,Italy,1959-01-09,M
41,Robin Williams,Poland,1987-09-12,F
42,John Cena,USA,1989-11-04,M
43,Jacob Bournemouth,Ierland,1976-10-01,M
44,Kevin Stu,UK,1965-09-02,M
45,Larissa Mond,USA,2006-06-06,F
46,Niu Li,South Korea,1973-09-04,F
47,Ashraf Gul,Iran,1971-03-03,M
48,Naomi Zen,Taiwan,1993-01-10,F
49,Jane Na,China,1961-11-12,F
50,Cole Sim,Germany,1957-09-04,M
51,Noah Ashley,UK,2010-02-09,F
52,Gokul Parag,Bangladesh,2009-01-02,M
53,Sachin Riol,India,1964-10-05,M
54,Lewis Saka,USA,1981-05-06,M
